Edad,TipoEmpleo,Educación,EstadoCivil,Profesión,Raza,Género,CargaHorariaSemanal,IngresoAnual
39,Gubernamental,Universitario,Solterx,Oficinista,Blancx,Masculino,40,50milO-
50,Autónomo,Universitario,Casadx,Oficinista,Blancx,Masculino,13,50milO-
38,Privado,Secundario,Divorciadx,Obrero,Blancx,Masculino,40,50milO-
53,Privado,11º,Casadx,Obrero,Negrx,Masculino,40,50milO-
28,Privado,Universitario,Casadx,Profesional,Negrx,Femenino,40,50milO-
37,Privado,Magíster,Casadx,Oficinista,Blancx,Femenino,40,50milO-
49,Privado,9º,Casadx,Servicio,Negrx,Femenino,16,50milO-
52,Autónomo,Secundario,Casadx,Oficinista,Blancx,Masculino,45,+50mil
31,Privado,Magíster,Solterx,Profesional,Blancx,Femenino,50,+50mil
42,Privado,Universitario,Casadx,Oficinista,Blancx,Masculino,40,+50mil
37,Privado,UniversitarioIncompleto,Casadx,Oficinista,Negrx,Masculino,80,+50mil
30,Gubernamental,Universitario,Casadx,Profesional,Asiáticx/IsleñxDelPacífico,Masculino,40,+50mil
23,Privado,Universitario,Solterx,Oficinista,Blancx,Femenino,30,50milO-
32,Privado,Tecnicatura,Solterx,Ventas,Negrx,Masculino,50,50milO-
40,Privado,Tecnicatura,Casadx,Obrero,Asiáticx/IsleñxDelPacífico,Masculino,40,+50mil
34,Privado,7º-8º,Casadx,Obrero,Indígena/Esquimal,Masculino,45,50milO-
25,Autónomo,Secundario,Solterx,Obrero,Blancx,Masculino,35,50milO-
32,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
38,Privado,11º,Casadx,Ventas,Blancx,Masculino,50,50milO-
43,Autónomo,Magíster,Divorciadx,Oficinista,Blancx,Femenino,45,+50mil
40,Privado,Doctorado,Casadx,Profesional,Blancx,Masculino,60,+50mil
54,Privado,Secundario,Separadx,Servicio,Negrx,Femenino,20,50milO-
35,Gubernamental,9º,Casadx,Obrero,Negrx,Masculino,40,50milO-
43,Privado,11º,Casadx,Obrero,Blancx,Masculino,40,50milO-
59,Privado,Secundario,Divorciadx,Servicio,Blancx,Femenino,40,50milO-
56,Gubernamental,Universitario,Casadx,Servicio,Blancx,Masculino,40,+50mil
19,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,40,50milO-
54,Otro/Desconocido,UniversitarioIncompleto,Casadx,Otro/Desconocido,Asiáticx/IsleñxDelPacífico,Masculino,60,+50mil
39,Privado,Secundario,Divorciadx,Oficinista,Blancx,Masculino,80,50milO-
49,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
23,Gubernamental,Tecnicatura,Solterx,Servicio,Blancx,Masculino,52,50milO-
20,Privado,UniversitarioIncompleto,Solterx,Ventas,Negrx,Masculino,44,50milO-
45,Privado,Universitario,Divorciadx,Oficinista,Blancx,Masculino,40,50milO-
30,Gubernamental,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,40,50milO-
22,Gubernamental,UniversitarioIncompleto,Casadx,Servicio,Negrx,Masculino,15,50milO-
48,Privado,11º,Solterx,Obrero,Blancx,Masculino,40,50milO-
21,Privado,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,40,50milO-
19,Privado,Secundario,Casadx,Oficinista,Blancx,Femenino,25,50milO-
31,Privado,UniversitarioIncompleto,Casadx,Ventas,Blancx,Masculino,38,+50mil
48,Autónomo,Tecnicatura,Casadx,Profesional,Blancx,Masculino,40,50milO-
31,Privado,9º,Casadx,Obrero,Blancx,Masculino,43,50milO-
53,Autónomo,Universitario,Casadx,Profesional,Blancx,Masculino,40,50milO-
24,Privado,Universitario,Casadx,Servicio,Blancx,Masculino,50,50milO-
49,Privado,Secundario,Separadx,Oficinista,Blancx,Femenino,40,50milO-
25,Privado,Secundario,Solterx,Obrero,Blancx,Masculino,35,50milO-
57,Gubernamental,Universitario,Casadx,Profesional,Negrx,Masculino,40,+50mil
53,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,38,50milO-
44,Privado,Magíster,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
41,Gubernamental,Tecnicatura,Casadx,Obrero,Blancx,Masculino,40,50milO-
29,Privado,Tecnicatura,Solterx,Profesional,Blancx,Masculino,43,50milO-
25,Privado,UniversitarioIncompleto,Casadx,Oficinista,Otro,Femenino,40,50milO-
18,Privado,Secundario,Solterx,Servicio,Blancx,Femenino,30,50milO-
47,Privado,FormaciónProfesional,Casadx,Profesional,Blancx,Femenino,60,+50mil
50,Gubernamental,Universitario,Divorciadx,Oficinista,Blancx,Masculino,55,+50mil
47,Autónomo,Secundario,Divorciadx,Oficinista,Blancx,Masculino,60,50milO-
43,Privado,UniversitarioIncompleto,Casadx,Servicio,Blancx,Masculino,40,+50mil
46,Privado,5º-6º,Casadx,Obrero,Blancx,Masculino,40,50milO-
35,Privado,Tecnicatura,Casadx,Servicio,Blancx,Masculino,40,50milO-
41,Privado,Secundario,Casadx,Oficinista,Blancx,Masculino,48,50milO-
30,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
30,Privado,Universitario,Casadx,Ventas,Blancx,Masculino,40,50milO-
32,Otro/Desconocido,7º-8º,Casadx,Otro/Desconocido,Blancx,Masculino,40,50milO-
48,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
42,Privado,Doctorado,Casadx,Profesional,Blancx,Masculino,45,+50mil
29,Privado,UniversitarioIncompleto,Divorciadx,Servicio,Blancx,Masculino,58,50milO-
36,Privado,Secundario,Casadx,Obrero,Blancx,Masculino,40,50milO-
28,Privado,UniversitarioIncompleto,Divorciadx,Oficinista,Blancx,Femenino,40,50milO-
53,Privado,Secundario,Casadx,Oficinista,Blancx,Femenino,40,+50mil
49,Autónomo,UniversitarioIncompleto,Casadx,Oficinista,Blancx,Masculino,50,+50mil
25,Otro/Desconocido,UniversitarioIncompleto,Solterx,Otro/Desconocido,Blancx,Masculino,40,50milO-
19,Privado,UniversitarioIncompleto,Solterx,Profesional,Blancx,Masculino,32,50milO-
31,Privado,Universitario,Separadx,Ventas,Negrx,Femenino,40,50milO-
29,Autónomo,Universitario,Casadx,Ventas,Blancx,Masculino,70,+50mil
23,Privado,UniversitarioIncompleto,Solterx,Obrero,Blancx,Masculino,40,50milO-
79,Privado,UniversitarioIncompleto,Casadx,Profesional,Blancx,Masculino,20,50milO-
